,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
1162,3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),Martin Garrix,0.584,0.221,0.506,2
1164,003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,0.0822,0.437,0.353,2
1183,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,0.816,0.169,0.511,2
1186,12wAQ0HNbJWVrVJA3woXDb,Safe,Daya,0.089,0.376,0.412,2
1193,1v1IXPXl73Z7zy6f5tUa9n,Emotionless,Drake,0.0239,0.0827,0.413,2
1201,5nMKJJ5Rl6X1yn58aVeICO,Bulong,December Avenue,0.0319,0.351,0.5,2
1207,3I572cT9kECh41bZz2xPhy,"Susi (From the Film ""GOYO - Ang Batang Heneral"")",Ben&Ben,0.291,0.289,0.325,2
1222,2Uj9aeKOXPx4cgHrcd9401,Midnight Sky,Unique Salonga,0.899,0.158,0.496,2
1231,0ORgAzmFh8N97SseJvmqgC,Love It If We Made It,The 1975,0.000718,0.0577,0.479,2
1233,4zIO3ilp5HvTeK3HJHxhMP,Natural,Imagine Dragons,0.216,0.213,0.448,2
1235,2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,0.161,0.132,0.502,2
1237,6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,December Avenue,0.132,0.282,0.45,2
1244,0dJPIIlTmVM0lambbFgAYq,Eroplanong Papel,December Avenue,0.00753,0.15,0.471,2
1250,1snWlbcbgQpJfknoI30DWG,Darkside,Alan Walker,0.164,0.112,0.425,2
1253,7wBJfHzpfI3032CSD7CE2m,STARGAZING,Travis Scott,0.00947,0.0564,0.487,2
1256,7jhlKPpAUqgV1m6AOTO19U,Too Much (feat. Timbaland),ZAYN,0.00434,0.301,0.446,2
1257,4ut5G4rgB1ClpMTMfjoIuy,High On Life (feat. Bonn),Martin Garrix,0.0129,0.368,0.414,2
1259,0GuAFGEkbWayjhWdlYlr7K,"Closer You and I - From ""Loving in Tandem""",Michael Pangilinan,0.201,0.264,0.207,2
1260,2Gh039ZAfydrM5IjiGlvEj,Akala,Marion Aunor,0.864,0.185,0.502,2
1267,3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,Jason Mraz,0.27,0.288,0.392,2
1268,0eYP6uVKRanxz52OW1MAPR,Animal,Troye Sivan,0.535,0.0528,0.335,2
1272,5UV4u1vdRO9zvsqe1rjNBO,Feels So Good ◑,HONNE,0.41,0.328,0.368,2
1281,0v2LUO8oTHnkjQ8MmKuXyk,raindrops (an angel cried),Ariana Grande,0.942,0.429,0.336,2
1298,5cQB9fbuQCz4muQUFkv3rR,Serendipity (Full Length Edition),BTS,0.445,0.226,0.347,2
1300,0EQMrxdeiBhry9JCxskko3,I'm Fine,BTS,0.00852,0.302,0.51,2
1304,7L8hkKW4hnemNfuOfEZcle,Epiphany,BTS,0.29,0.327,0.509,2
1309,7i1pavASRUZk62ejaUIESa,Crying Over You ◐,HONNE,0.0815,0.415,0.385,2
1311,7uuEfUMuPeQ7RlSWa0cES2,Can’t Help Falling in Love,Kina Grannis,0.905,0.143,0.266,2
1314,7aW2GrNlteWTwQZxX6LNjT,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""",Moira Dela Torre,0.535,0.315,0.264,2
1325,4bYqnqT92z9bi50a2tRsjj,How Deep Is Your Love,the bird and the bee,0.93,0.122,0.385,2
1336,6MMIXC8IMjrkz6TIzQ0cey,"Bata, Dahan-Dahan!",IV Of Spades,0.0612,0.25,0.406,2
1337,4T3fNx3CgwDRRYgmFCbD4J,Better,Khalid,0.0984,0.116,0.442,2
1340,0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,Joji,0.544,0.284,0.515,2
1371,32FQqB67FkHkFSeXnuSYV0,"All Tonight - From ""Exes Baggage""",Midnight Meetings,0.539,0.164,0.498,2
1388,4dF0mDPTlpjThf1mJyK83B,tokyo,RM,0.828,0.0721,0.447,2
1389,5Zlo5ZYjrr6DwQw1kBi5bA,moonchild,RM,0.0254,0.19,0.504,2
1390,5fCDWDX2Kv9jc1s7nZfzOi,forever rain,RM,0.0307,0.252,0.389,2
1391,7DKYA93lgKbhxzqE2ojtCS,everythingoes,RM,0.143,0.14,0.467,2
1392,5Qg0xK4s85tINbQcJD3GDq,badbye,RM,0.0948,0.229,0.241,2
1395,4J4zx8xGJpuGndrVc06KaT,Diamond Heart,Alan Walker,0.129,0.253,0.499,2
1396,1uru26I2JKd2mQZt0MDCUe,Empty Space,James Arthur,0.215,0.321,0.404,2
1402,14JzyD6FlBD5z0wV5P07YI,when the party's over,Billie Eilish,0.979,0.205,0.498,2
1405,7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen,0.288,0.228,0.392,2
1414,6cFZ4PLC19taNlpl9pbGMf,Somebody To Love - Remastered 2011,Queen,0.19,0.358,0.497,2
1423,50hVyhZM4nvizfrQe38F3l,Hindi Na Nga,This Band,0.0877,0.108,0.396,2
1428,4YJUTdZ0Pgl0ZeNyHYXeLd,Love Of My Life - Remastered 2011,Queen,0.933,0.255,0.329,2
1430,0YwBZKT8JE4U5TwmYE9BV9,Radio Ga Ga - Live Aid,Queen,0.0138,0.395,0.406,2
1431,1lCRw5FEZ1gPDNPzy1K4zW,We Are The Champions - Remastered 2011,Queen,0.378,0.175,0.268,2
1442,1WXs4O7mBxXglHJPwYweHq,Demonyo,juan karlos,0.0509,0.114,0.415,2
1447,3HPpOFmDibEO06Z2q4ZN5u,I Always Wanna Die (Sometimes),The 1975,0.00527,0.0398,0.376,2
1468,3zJw3rugfpVrmBeDDnUYzy,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,0.318,0.395,0.328,2
1473,4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),Nat King Cole,0.92,0.209,0.319,2
1474,4so0Wek9Ig1p6CRCHuINwW,White Christmas,Bing Crosby,0.673,0.247,0.317,2
1477,21gCZq4O38rQM60BW1TsvF,Tanging Hiling Ngayong Pasko,Kithara,0.874,0.282,0.352,2
1479,550rQQCGkrTzvp4SfpOPzx,Hallelujah,Pentatonix,0.454,0.366,0.322,2
